artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
100133,"AO 19726","AAS 153",Gregoire1970AAS,primary,153,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.00.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015874," ",0,0,,,0,0,0,0,,
100136,"CFC 001","AAS 156",Gregoire1970AAS,primary,156,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.06.26 (us2 year)","College de France, Paris, France",Administrative,clay,tablet,41.0,14.0,38.0,,,,,,,Poor,,complete,Sumerian,,,,,,S999999,,,,,0,,0,,0,,0,,BDTNS,015877," ",0,0,,,0,0,0,0,,
100139,"CFC 004","AAS 159",Gregoire1970AAS,primary,159,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.00.00 (us2 year)","College de France, Paris, France",Administrative,clay,tablet,30.0,14.0,28.0,,,,,,,Excellent,,75%,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015880,"gaba-ri ",0,0,,,0,0,0,0,,
100209,"MHBA 56.0016 E","ActOrHun Or 2, 165","Dávid1952-7589; Everling1999BMHBA90-91","primary; history","; 7ff., no. 10","; ","Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.11.00,"Museum of Fine Arts, Budapest, Hungary",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,012391," ",0,0,,,0,0,0,0,,
100236,"MAT 577","Aegyptus 26, 156 03","Archi1995TCNU; Rinaldi1946tavolette","history; primary","577; p. 156 3","; ","Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.03.00.00,"Museo di Antichità di Torino, Turin, Italy",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000033,,,,,0,,0,,0,,0,,BDTNS,012245," ",0,0,,,0,0,0,0,,
100283,"Wyrauch 1","AfO 24, pl. 15 private",Krecher1973AfO24,primary,"pl. 15 private",,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.04.30,"Slater Memorial Museum, Norwich Free Library, Connecticut, USA",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,017042,"messenger text ",0,0,,,0,0,0,0,,
100285,"AIR —","AfO 24, 120, pl. 15 S 214",Krecher1973AfO24,primary,"120, pl. 15 S 214",,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.11.00,"Archäologisches Institut, Ruhr-Universität Bochum, Bochum, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000033,,,,,0,,0,,0,,0,,BDTNS,017044," ",0,0,,,0,0,0,0,,
100289,"CMAG 1919.16.03","AfO 24, pl. 19 Truro 03",Walker1973AfO24,primary,"pl. 19 Truro 03",,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.00.00 (us2 year)","County Museum and Art Gallery, Truro, Cornwall, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002829.4,,,,,0,,0,,0,,0,,BDTNS,017048," ",0,0,,,0,0,0,0,,
100290,"CMAG 1919.16.04","AfO 24, 123, pl. 19 Truro 04",Walker1973AfO24,primary,"123, pl. 19 Truro 04",,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.07.00 (us2 year)","County Museum and Art Gallery, Truro, Cornwall, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000033,,,,,0,,0,,0,,0,,BDTNS,017049," ",0,0,,,0,0,0,0,,
100291,"CMAG 1922.90.01","AfO 24, pl. 19 Truro 05",Walker1973AfO24,primary,"pl. 19 Truro 05",,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.05.00 (us2 year)","County Museum and Art Gallery, Truro, Cornwall, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S004687,,,,,0,,0,,0,,0,,BDTNS,017050," ",0,0,,,0,0,0,0,,
100299,"CMF 4","AfO 40-41, 56 4",Sallaberger1993-1994AfO40,primary,"56 4",,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.10.18,"Chiemgauer Münzfreunde, Chiemgau, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,036897,"messenger text ",0,0,,,0,0,0,0,,
100354,"NMSA 3733","Aleppo 022",Touzalin1982Aleppo,primary,022,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.02.00.00 (us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023465,"messenger text, group G",0,0,,,0,0,0,0,,
100355,"NMSA 4009","Aleppo 023",Touzalin1982Aleppo,primary,023,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.02.01.10 (us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023466,"messenger text, group G",0,0,,,0,0,0,0,,
100356,"NMSA 3751","Aleppo 024",Touzalin1982Aleppo,primary,024,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.02.02.07 (us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023467,"messenger text, group G",0,0,,,0,0,0,0,,
100357,"NMSA 3956","Aleppo 025",Touzalin1982Aleppo,primary,025,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.02.02.09 (us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023468,"messenger text, group G",0,0,,,0,0,0,0,,
100358,"NMSA 3972","Aleppo 026",Touzalin1982Aleppo,primary,026,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.06.22,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023469,"messenger text, group G",0,0,,,0,0,0,0,,
100359,"NMSA 3962","Aleppo 027",Touzalin1982Aleppo,primary,027,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.07.--,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023470,"messenger text, group G",0,0,,,0,0,0,0,,
100360,"NMSA 3946","Aleppo 028",Touzalin1982Aleppo,primary,028,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.07.17,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023471,"messenger text, group G",0,0,,,0,0,0,0,,
100361,"NMSA —","Aleppo 029",Touzalin1982Aleppo,primary,029,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.07.29,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023472,"messenger text, group G",0,0,,,0,0,0,0,,
100362,"NMSA 4006","Aleppo 030",Touzalin1982Aleppo,primary,030,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.02,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023473,"messenger text, group G",0,0,,,0,0,0,0,,
100363,"NMSA 4041","Aleppo 031",Touzalin1982Aleppo,primary,031,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.08,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023474,"messenger text, group G",0,0,,,0,0,0,0,,
100364,"NMSA 3802","Aleppo 032",Touzalin1982Aleppo,primary,032,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.18,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023475,"messenger text, group G",0,0,,,0,0,0,0,,
100365,"NMSA 3808","Aleppo 033",Touzalin1982Aleppo,primary,033,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.25,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023476,"messenger text, group G",0,0,,,0,0,0,0,,
100366,"NMSA 3699","Aleppo 034",Touzalin1982Aleppo,primary,034,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.27,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023477,"messenger text, group G",0,0,,,0,0,0,0,,
100367,"NMSA 3947","Aleppo 035",Touzalin1982Aleppo,primary,035,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.09.05,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023478,"messenger text, group G",0,0,,,0,0,0,0,,
100368,"NMSA 3843","Aleppo 036",Touzalin1982Aleppo,primary,036,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.24,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023479,"messenger text, group G",0,0,,,0,0,0,0,,
